Make,Model,Year,Mileage,Fuel_Type,Engine_Size,Transmission,Body_Type,Color,Owner_History,Price,Age
kia,model b,0.7895217028907271,0.1692527909329404,diesel,0.7154128031979914,cvt,coupe,black,third owner,12931.67,-0.7895217028907402
volkswagen,model c,-0.7967319467527691,-1.6586610127280388,diesel,1.4080130846264332,automatic,suv,white,second owner,11740.72,0.7967319467527562
nissan,model e,-0.940936823993087,-0.28016091671391524,diesel,-1.1026629355516686,automatic,suv,black,first owner,12054.35,0.9409368239930741
honda,model a,-1.0851417012334048,-0.06783544332267365,diesel,1.4945881198049888,cvt,suv,white,first owner,11891.23,1.085141701233392
bmw,model d,0.5011119484100913,1.3333052318351395,electric,-0.5832127244803372,automatic,hatchback,black,first owner,22661.96,-0.5011119484101045
hyundai,model c,0.7895217028907271,0.7855796676222679,electric,-0.8429378300160029,manual,coupe,red,second owner,17042.63,-0.7895217028907402
ford,model a,-0.07570756055117998,-1.12182057161058,hybrid,0.9751379087336569,automatic,suv,white,second owner,14128.86,0.07570756055116692
volkswagen,model a,1.3663412118519984,-1.2331039658850393,hybrid,-1.1026629355516686,cvt,hatchback,gray,second owner,19307.47,-1.3663412118520115
mercedes,model b,0.7895217028907271,0.03400543453166886,diesel,0.36911266248377045,manual,truck,blue,third owner,18406.5,-0.7895217028907402
honda,model b,-0.36411731503181566,-0.2759880874878535,petrol,1.0617129439122126,automatic,suv,black,first owner,12610.02,0.3641173150318026
honda,model a,0.7895217028907271,1.1444787481712346,electric,-0.3234876189446713,manual,coupe,gray,third owner,17032.06,-0.7895217028907402
mercedes,model c,0.06849731668913786,-0.3818944932453019,diesel,-1.7086881818015554,automatic,hatchback,blue,third owner,20713.16,-0.06849731668915093
mercedes,model c,-0.7967319467527691,1.3251622536597103,petrol,0.9751379087336569,cvt,truck,red,third owner,12376.5,0.7967319467527562
hyundai,model a,-0.7967319467527691,1.1199186675835566,diesel,0.19596259212666023,cvt,suv,gray,first owner,8629.39,0.7967319467527562
hyundai,model e,-0.36411731503181566,-0.1511608817825191,hybrid,0.888562873555102,cvt,coupe,blue,first owner,11614.84,0.3641173150318026
ford,model c,1.654750966332634,0.5829113132970551,petrol,-0.6697877596588921,automatic,sedan,black,third owner,17284.07,-1.6547509663326474
honda,model a,0.06849731668913786,-0.46645985810374857,petrol,0.9751379087336569,cvt,coupe,gray,first owner,13808.05,-0.06849731668915093
volkswagen,model d,1.5105460890923161,1.031252007714352,electric,1.4945881198049888,manual,suv,black,second owner,17913.74,-1.5105460890923295
volkswagen,model a,0.9337265801310449,-1.065797358658396,hybrid,1.2348630142693233,cvt,coupe,white,second owner,17324.25,-0.933726580131058
ford,model a,-0.21991243779149783,0.6583322209658178,hybrid,1.0617129439122126,manual,sedan,gray,second owner,11897.93,0.21991243779148478
mercedes,model c,0.7895217028907271,0.18310658396346557,electric,1.7543132253406544,manual,hatchback,white,third owner,23917.75,-0.7895217028907402
hyundai,model a,-0.36411731503181566,-0.5843124778169511,hybrid,-1.1026629355516686,manual,truck,blue,third owner,12703.83,0.3641173150318026
volkswagen,model e,0.5011119484100913,0.6916194758205736,hybrid,-0.5832127244803372,cvt,truck,blue,third owner,14064.32,-0.5011119484101045
volkswagen,model b,0.7895217028907271,1.5906138042833273,electric,1.4945881198049888,automatic,truck,blue,first owner,17553.72,-0.7895217028907402
chevrolet,model d,-0.7967319467527691,-1.738648187807035,diesel,1.4945881198049888,automatic,hatchback,black,first owner,12244.55,0.7967319467527562
nissan,model b,0.9337265801310449,1.5786556679583559,hybrid,0.7154128031979914,automatic,coupe,blue,first owner,12573.5,-0.933726580131058
ford,model d,1.2221363346116805,0.5560621378196517,diesel,-0.15033754858756104,automatic,sedan,blue,first owner,15584.2,-1.2221363346116938
chevrolet,model b,-1.6619612101946761,-0.864881592608129,petrol,-0.4966376893017819,cvt,suv,gray,second owner,8104.91,1.6619612101946633
bmw,model d,-0.940936823993087,0.8112842956548086,electric,-0.8429378300160029,cvt,hatchback,gray,third owner,15786.78,0.9409368239930741
mercedes,model a,-0.6525270695124513,-0.3031353221956898,diesel,-0.236912583766116,automatic,coupe,red,second owner,16774.91,0.6525270695124383
mercedes,model e,0.2127021939294557,-0.42728295285563694,petrol,0.7154128031979914,automatic,hatchback,gray,third owner,21151.02,-0.2127021939294688
mercedes,model e,-1.0851417012334048,-0.43013239909857626,petrol,-1.1892379707302236,manual,suv,blue,first owner,15311.32,1.085141701233392
chevrolet,model a,1.0779314573713628,0.6970322314452366,petrol,-0.236912583766116,cvt,hatchback,red,third owner,16493.52,-1.0779314573713759
nissan,model a,1.5105460890923161,1.6293376595011808,hybrid,-1.275813005908779,cvt,coupe,black,second owner,16865.08,-1.5105460890923295
hyundai,model d,1.2221363346116805,-0.5943988021748032,petrol,0.022812521769549583,cvt,coupe,white,second owner,17718.59,-1.2221363346116938
bmw,model b,-0.5083221922721335,0.038905528279987146,electric,0.4556876976623258,cvt,truck,white,third owner,19360.96,0.5083221922721205
chevrolet,model a,-0.5083221922721335,-0.7583075341745107,diesel,0.1093875569481049,cvt,sedan,black,second owner,11527.2,0.5083221922721205
ford,model d,-1.6619612101946761,1.4313190291707225,diesel,0.8019878383765466,manual,sedan,red,first owner,6821.81,1.6619612101946633
volkswagen,model c,0.2127021939294557,1.0482771509566842,hybrid,0.9751379087336569,automatic,sedan,black,third owner,10251.41,-0.2127021939294688
volkswagen,model c,0.06849731668913786,-1.6387745008735501,hybrid,1.4080130846264332,manual,sedan,blue,third owner,15423.85,-0.06849731668915093
bmw,model d,-0.6525270695124513,-1.3936625121346802,electric,0.28253762730521514,cvt,truck,red,first owner,18317.8,0.6525270695124383
nissan,model a,-0.36411731503181566,1.227541894508299,diesel,0.8019878383765466,automatic,suv,red,first owner,10948.85,0.3641173150318026
toyota,model c,-0.07570756055117998,-0.8079403572262115,diesel,-1.5355381114444449,cvt,hatchback,red,third owner,13449.59,0.07570756055116692
hyundai,model b,-1.6619612101946761,-0.9393010212626369,petrol,-0.06376251340900574,automatic,hatchback,red,third owner,8823.4,1.6619612101946633
bmw,model c,-0.7967319467527691,-1.6024470418683778,petrol,1.1482879790907676,manual,hatchback,gray,second owner,16761.9,0.7967319467527562
hyundai,model b,1.654750966332634,0.24357684063370968,diesel,0.1093875569481049,manual,coupe,white,first owner,17711.57,-1.6547509663326474
toyota,model c,-0.21991243779149783,-0.1641204971217453,electric,0.4556876976623258,cvt,coupe,red,second owner,16623.7,0.21991243779148478
nissan,model d,-0.940936823993087,-1.490960967317224,diesel,0.28253762730521514,manual,sedan,blue,first owner,10602.73,0.9409368239930741
chevrolet,model c,-0.5083221922721335,0.7979193197621935,diesel,1.5811631549835439,automatic,coupe,blue,first owner,7981.88,0.5083221922721205
kia,model b,-0.7967319467527691,0.8162678459876481,diesel,-0.6697877596588921,manual,suv,gray,third owner,7695.04,0.7967319467527562
kia,model a,-1.6619612101946761,0.13683586903104888,electric,-0.4100626541232266,cvt,truck,blue,second owner,9934.69,1.6619612101946633
bmw,model c,-1.6619612101946761,0.5860468964012101,diesel,-0.6697877596588921,cvt,coupe,blue,third owner,12432.68,1.6619612101946633
nissan,model a,1.3663412118519984,-0.1273995999324015,petrol,0.1093875569481049,cvt,suv,red,third owner,20766.2,-1.3663412118520115
nissan,model d,0.35690707116977355,-1.281389561215183,petrol,0.4556876976623258,cvt,hatchback,white,second owner,13593.11,-0.35690707116978665
ford,model c,0.6453168256504092,-0.18113371799486014,petrol,-0.5832127244803372,cvt,truck,gray,third owner,16900.56,-0.6453168256504224
bmw,model c,0.35690707116977355,0.44979806098568376,diesel,0.36911266248377045,cvt,hatchback,black,second owner,16851.63,-0.35690707116978665
nissan,model d,1.654750966332634,-0.06567749449433884,electric,-0.15033754858756104,cvt,coupe,black,first owner,22483.23,-1.6547509663326474
ford,model b,-1.2293465784737228,1.1352627567662466,hybrid,-0.6697877596588921,automatic,coupe,gray,second owner,6641.65,1.2293465784737099
kia,model b,0.5011119484100913,0.3478975712852546,diesel,-0.8429378300160029,automatic,sedan,white,second owner,12912.29,-0.5011119484101045
ford,model e,0.9337265801310449,0.46126738017274505,diesel,1.5811631549835439,manual,hatchback,white,first owner,14885.0,-0.933726580131058
mercedes,model b,0.5011119484100913,-1.5512166213415564,diesel,-0.4966376893017819,cvt,hatchback,white,third owner,19073.61,-0.5011119484101045
ford,model e,1.5105460890923161,0.32987094902866765,electric,1.1482879790907676,cvt,coupe,white,third owner,18527.94,-1.5105460890923295
hyundai,model a,0.6453168256504092,-1.0336427288792855,hybrid,0.4556876976623258,automatic,suv,white,first owner,15632.46,-0.6453168256504224
nissan,model c,0.5011119484100913,0.7580509170994775,petrol,0.888562873555102,manual,truck,black,second owner,14236.08,-0.5011119484101045
chevrolet,model a,-0.7967319467527691,1.5395860640332002,diesel,1.1482879790907676,cvt,coupe,blue,first owner,7595.3,0.7967319467527562
ford,model b,-0.07570756055117998,1.460898427198892,petrol,1.0617129439122126,cvt,hatchback,blue,first owner,9598.33,0.07570756055116692
kia,model c,-0.36411731503181566,-0.13070209620559897,hybrid,0.6288377680194365,cvt,coupe,gray,first owner,14622.51,0.3641173150318026
chevrolet,model b,-0.36411731503181566,-0.6831250738900945,hybrid,1.6677381901620996,manual,hatchback,black,second owner,11700.08,0.3641173150318026
nissan,model a,0.06849731668913786,-0.06650013797033387,petrol,-1.7086881818015554,automatic,suv,gray,first owner,13430.03,-0.06849731668915093
nissan,model b,0.9337265801310449,1.4224249417346022,diesel,1.4080130846264332,manual,sedan,gray,second owner,14757.23,-0.933726580131058
nissan,model a,-0.7967319467527691,0.4650110041069833,petrol,1.6677381901620996,manual,hatchback,white,first owner,9458.26,0.7967319467527562
kia,model c,-0.940936823993087,1.0929264236755454,petrol,-0.3234876189446713,cvt,hatchback,blue,second owner,7130.28,0.9409368239930741
chevrolet,model b,-0.5083221922721335,-0.9725167419020888,diesel,-0.236912583766116,cvt,suv,black,third owner,12194.13,0.5083221922721205
mercedes,model e,0.9337265801310449,-1.3724526172970688,petrol,1.2348630142693233,automatic,truck,blue,second owner,23103.26,-0.933726580131058
ford,model e,0.7895217028907271,0.1311846660220395,electric,0.4556876976623258,cvt,coupe,blue,first owner,15453.0,-0.7895217028907402
ford,model d,-0.21991243779149783,-0.693223320617164,diesel,-1.3623880410873344,manual,sedan,red,first owner,12656.36,0.21991243779148478
honda,model d,-1.2293465784737228,1.5296428081059559,petrol,0.28253762730521514,cvt,coupe,white,first owner,8143.33,1.2293465784737099
kia,model b,-1.0851417012334048,-0.8196362014284019,hybrid,0.1093875569481049,cvt,suv,white,second owner,10819.92,1.085141701233392
hyundai,model d,-0.07570756055117998,0.05131671463521666,diesel,-0.9295128651945581,automatic,truck,black,first owner,10059.74,0.07570756055116692
volkswagen,model a,0.9337265801310449,0.9501441299289279,hybrid,-1.7086881818015554,automatic,sedan,white,first owner,15040.94,-0.933726580131058
bmw,model b,-0.5083221922721335,0.8145510248203541,hybrid,-1.6221131466229999,automatic,suv,black,first owner,12555.09,0.5083221922721205
toyota,model e,-0.5083221922721335,-1.2055156035161623,diesel,0.36911266248377045,automatic,truck,white,first owner,14175.48,0.5083221922721205
hyundai,model a,1.2221363346116805,-0.2285609027413568,hybrid,-1.4489630762658894,automatic,coupe,white,third owner,19001.33,-1.2221363346116938
honda,model a,-1.6619612101946761,1.1695991801121266,petrol,-1.4489630762658894,cvt,coupe,red,first owner,3867.76,1.6619612101946633
volkswagen,model e,1.0779314573713628,-1.1382138292843942,diesel,-1.1892379707302236,automatic,suv,white,second owner,17032.8,-1.0779314573713759
nissan,model b,0.5011119484100913,0.23098681874022037,hybrid,-0.3234876189446713,automatic,truck,black,first owner,12090.5,-0.5011119484101045
hyundai,model c,1.3663412118519984,1.2563821056449946,electric,-0.236912583766116,automatic,hatchback,white,third owner,17987.81,-1.3663412118520115
kia,model a,-0.07570756055117998,0.2184802534312523,hybrid,0.5422627328408811,manual,sedan,white,second owner,11583.85,0.07570756055116692
mercedes,model c,0.7895217028907271,-1.0849208388829763,diesel,1.7543132253406544,cvt,truck,blue,second owner,23192.85,-0.7895217028907402
volkswagen,model a,1.0779314573713628,-0.5014997012334503,diesel,-0.4100626541232266,cvt,hatchback,white,second owner,19523.91,-1.0779314573713759
toyota,model a,-0.07570756055117998,-0.7856693715282588,diesel,0.5422627328408811,manual,coupe,white,first owner,13201.6,0.07570756055116692
chevrolet,model a,0.6453168256504092,0.6713395257819132,hybrid,1.5811631549835439,cvt,suv,red,second owner,15366.03,-0.6453168256504224
chevrolet,model b,-0.21991243779149783,-0.786980832142164,diesel,1.4945881198049888,manual,truck,white,first owner,12783.1,0.21991243779148478
bmw,model e,0.06849731668913786,1.3133114186576949,petrol,-0.9295128651945581,manual,sedan,white,third owner,18085.2,-0.06849731668915093
mercedes,model a,0.2127021939294557,-0.30495944468593966,hybrid,-1.1026629355516686,manual,coupe,gray,third owner,21682.6,-0.2127021939294688
ford,model a,0.2127021939294557,1.729115967480927,petrol,0.022812521769549583,cvt,truck,red,third owner,11324.86,-0.2127021939294688
nissan,model d,0.7895217028907271,0.054535754323892904,petrol,-1.1892379707302236,cvt,coupe,white,third owner,14218.98,-0.7895217028907402
bmw,model a,-0.36411731503181566,-0.8465330663826744,diesel,-0.8429378300160029,manual,suv,red,first owner,18938.31,0.3641173150318026
ford,model a,1.654750966332634,-0.334121559791503,electric,0.888562873555102,cvt,sedan,blue,second owner,23900.81,-1.6547509663326474
toyota,model e,1.0779314573713628,0.8829496570201157,petrol,-0.4100626541232266,cvt,suv,blue,first owner,16515.76,-1.0779314573713759
kia,model b,-0.5083221922721335,-1.2164007266115748,electric,0.7154128031979914,cvt,hatchback,white,second owner,13518.71,0.5083221922721205
bmw,model e,0.35690707116977355,-0.38148913269191304,petrol,0.1093875569481049,cvt,sedan,white,second owner,18679.61,-0.35690707116978665
nissan,model a,0.9337265801310449,0.6062672345937838,electric,-0.5832127244803372,automatic,sedan,gray,second owner,19015.54,-0.933726580131058
nissan,model d,-0.21991243779149783,0.5676268359604516,diesel,-0.5832127244803372,automatic,suv,black,third owner,9084.71,0.21991243779148478
volkswagen,model c,1.5105460890923161,-1.321246041508682,diesel,0.4556876976623258,cvt,truck,black,second owner,21309.3,-1.5105460890923295
kia,model d,-0.07570756055117998,-0.7156969865918111,petrol,0.022812521769549583,manual,truck,red,first owner,15863.32,0.07570756055116692
nissan,model b,-0.36411731503181566,-0.8227598621633395,hybrid,1.5811631549835439,manual,sedan,white,first owner,14403.21,0.3641173150318026
bmw,model a,-1.6619612101946761,-1.6746846769561161,diesel,-0.236912583766116,cvt,suv,white,second owner,15068.85,1.6619612101946633
kia,model a,-0.07570756055117998,-1.3856983694975107,petrol,-0.6697877596588921,cvt,hatchback,blue,first owner,14838.73,0.07570756055116692
volkswagen,model d,-0.940936823993087,1.4561294795119644,diesel,1.2348630142693233,manual,coupe,white,first owner,7122.62,0.9409368239930741
chevrolet,model a,-0.21991243779149783,1.1796855044699788,petrol,-0.8429378300160029,manual,truck,white,first owner,9589.19,0.21991243779148478
hyundai,model a,-0.6525270695124513,-0.5805688538827127,diesel,-0.8429378300160029,manual,hatchback,red,third owner,11819.58,0.6525270695124383
honda,model e,-0.21991243779149783,-1.361746329739916,electric,0.888562873555102,manual,sedan,black,first owner,17925.59,0.21991243779148478
mercedes,model a,-0.21991243779149783,0.5117824585465274,hybrid,-0.7563627948374475,automatic,suv,white,first owner,15816.55,0.21991243779148478
hyundai,model c,1.5105460890923161,-1.7260939330211975,electric,-1.1026629355516686,automatic,hatchback,blue,second owner,20776.62,-1.5105460890923295
hyundai,model a,-1.0851417012334048,-1.2855027785951583,hybrid,-1.5355381114444449,automatic,coupe,red,first owner,9522.82,1.085141701233392
bmw,model b,0.5011119484100913,0.4897976097097904,diesel,1.1482879790907676,cvt,suv,red,second owner,17443.01,-0.5011119484101045
kia,model c,1.3663412118519984,0.6633634607755265,electric,-1.0160879003731134,automatic,hatchback,white,first owner,18421.68,-1.3663412118520115
volkswagen,model c,0.2127021939294557,0.9526955169414343,diesel,-1.1026629355516686,manual,truck,white,second owner,10218.47,-0.2127021939294688
chevrolet,model d,-1.6619612101946761,-1.0189782147419826,diesel,-0.6697877596588921,automatic,truck,gray,first owner,9148.3,1.6619612101946633
honda,model e,0.9337265801310449,-1.3301520513140195,diesel,-1.1892379707302236,manual,truck,gray,third owner,18368.61,-0.933726580131058
ford,model d,-0.5083221922721335,-1.007198913955271,electric,0.1093875569481049,cvt,coupe,gray,third owner,16544.02,0.5083221922721205
hyundai,model b,0.06849731668913786,0.14116368905693583,electric,0.19596259212666023,cvt,coupe,red,second owner,15805.98,-0.06849731668915093
chevrolet,model c,1.654750966332634,0.34641919750230704,hybrid,-1.0160879003731134,automatic,sedan,black,third owner,15140.3,-1.6547509663326474
chevrolet,model b,0.35690707116977355,-1.776012892934114,electric,1.4080130846264332,cvt,coupe,white,third owner,19871.25,-0.35690707116978665
mercedes,model b,1.3663412118519984,1.2966201017534478,petrol,0.8019878383765466,automatic,truck,blue,first owner,21800.5,-1.3663412118520115
mercedes,model a,1.654750966332634,0.7982412237310612,hybrid,1.6677381901620996,manual,suv,white,first owner,20426.17,-1.6547509663326474
ford,model b,-0.21991243779149783,0.4327729177433516,electric,0.6288377680194365,cvt,suv,gray,third owner,14705.19,0.21991243779148478
mercedes,model e,1.654750966332634,0.22239079053453306,hybrid,0.022812521769549583,automatic,coupe,gray,first owner,21004.82,-1.6547509663326474
kia,model a,-0.07570756055117998,0.3522969255264455,hybrid,0.36911266248377045,cvt,truck,red,third owner,10904.33,0.07570756055116692
honda,model b,-1.5177563329543584,-0.06940919605935982,diesel,-1.3623880410873344,manual,coupe,gray,third owner,10472.21,1.5177563329543455
volkswagen,model e,-0.21991243779149783,-0.7868616084499908,diesel,1.1482879790907676,manual,sedan,gray,second owner,14662.24,0.21991243779148478
mercedes,model c,0.35690707116977355,-0.8563570986177457,electric,-1.4489630762658894,automatic,coupe,gray,second owner,21769.03,-0.35690707116978665
nissan,model d,0.06849731668913786,-0.2608705233202924,petrol,1.3214380494478781,cvt,hatchback,white,third owner,16035.39,-0.06849731668915093
toyota,model a,0.9337265801310449,-0.6255996424165282,diesel,0.022812521769549583,cvt,suv,red,first owner,19326.08,-0.933726580131058
hyundai,model d,-0.940936823993087,-1.1464760311519966,petrol,-1.4489630762658894,cvt,suv,black,second owner,12009.84,0.9409368239930741
volkswagen,model b,0.06849731668913786,1.7330503493226426,electric,-0.236912583766116,manual,hatchback,gray,third owner,15962.7,-0.06849731668915093
toyota,model e,-0.940936823993087,-1.3204472427711216,electric,1.1482879790907676,automatic,hatchback,red,first owner,14677.56,0.9409368239930741
chevrolet,model b,-0.940936823993087,0.24704625007594963,diesel,0.7154128031979914,cvt,hatchback,red,first owner,8412.08,0.9409368239930741
kia,model a,0.7895217028907271,0.5725269297087698,petrol,0.7154128031979914,automatic,suv,gray,first owner,12022.71,-0.7895217028907402
bmw,model d,1.654750966332634,-1.726594672528325,petrol,-1.1892379707302236,cvt,hatchback,gray,third owner,24650.38,-1.6547509663326474
toyota,model e,-0.7967319467527691,1.25240003432641,diesel,-0.15033754858756104,manual,sedan,white,first owner,8226.12,0.7967319467527562
nissan,model d,-1.3735514557140405,-1.3785926374439883,petrol,0.8019878383765466,manual,hatchback,white,third owner,9969.13,1.3735514557140276
mercedes,model c,0.35690707116977355,1.2169667530125365,diesel,-1.6221131466229999,manual,truck,white,first owner,17155.18,-0.35690707116978665
bmw,model c,0.35690707116977355,1.3294543065779454,diesel,-0.4100626541232266,automatic,suv,blue,third owner,17600.07,-0.35690707116978665
kia,model a,-1.3735514557140405,1.4575601638180427,diesel,0.28253762730521514,cvt,suv,red,second owner,7819.47,1.3735514557140276
chevrolet,model c,-0.21991243779149783,-0.5111210531918271,petrol,1.2348630142693233,manual,sedan,black,second owner,11579.85,0.21991243779148478
hyundai,model e,1.654750966332634,-1.1933667092837137,electric,0.1093875569481049,cvt,suv,white,first owner,23023.09,-1.6547509663326474
mercedes,model a,-1.5177563329543584,1.6412838734569348,electric,-1.4489630762658894,automatic,coupe,black,third owner,13132.23,1.5177563329543455
volkswagen,model e,-0.940936823993087,1.6297787871622216,diesel,-0.8429378300160029,cvt,sedan,white,third owner,7130.3,0.9409368239930741
bmw,model a,-1.2293465784737228,0.017099514981509918,hybrid,-1.3623880410873344,manual,sedan,white,first owner,11132.43,1.2293465784737099
chevrolet,model e,0.5011119484100913,-1.6349831874624425,hybrid,1.2348630142693233,manual,coupe,gray,first owner,17080.01,-0.5011119484101045
kia,model b,0.9337265801310449,-0.6700939243355643,electric,-1.4489630762658894,automatic,hatchback,gray,second owner,21592.8,-0.933726580131058
kia,model b,-1.5177563329543584,1.3255080023670127,diesel,1.4080130846264332,cvt,truck,gray,second owner,4362.09,1.5177563329543455
toyota,model c,-0.5083221922721335,1.2596846019181922,diesel,0.4556876976623258,manual,suv,black,second owner,10090.47,0.5083221922721205
ford,model a,-1.6619612101946761,-0.816321782785987,petrol,1.0617129439122126,manual,truck,blue,first owner,7776.07,1.6619612101946633
hyundai,model d,-1.0851417012334048,1.2965843346457957,electric,1.3214380494478781,cvt,suv,black,third owner,12299.0,1.085141701233392
honda,model e,0.5011119484100913,0.14258245099379685,hybrid,0.6288377680194365,manual,truck,gray,first owner,11584.85,-0.5011119484101045
nissan,model b,-1.6619612101946761,0.4329994427584807,diesel,-0.5832127244803372,manual,coupe,white,first owner,4864.46,1.6619612101946633
volkswagen,model c,0.35690707116977355,-0.3647858934184485,diesel,0.022812521769549583,cvt,truck,gray,second owner,13691.87,-0.35690707116978665
kia,model b,1.2221363346116805,0.3011380392149279,petrol,0.19596259212666023,automatic,sedan,blue,third owner,15578.57,-1.2221363346116938
ford,model e,-1.5177563329543584,-0.3784608509107139,petrol,-1.5355381114444449,cvt,sedan,black,first owner,10803.29,1.5177563329543455
mercedes,model e,-0.21991243779149783,-0.26691516451347336,hybrid,1.4945881198049888,manual,truck,blue,first owner,20128.12,0.21991243779148478
toyota,model d,-1.6619612101946761,0.1197153468349782,electric,-0.9295128651945581,manual,hatchback,gray,second owner,10113.65,1.6619612101946633
mercedes,model d,-0.5083221922721335,-0.9862751559788754,hybrid,-1.6221131466229999,manual,coupe,gray,third owner,16324.58,0.5083221922721205
chevrolet,model d,0.6453168256504092,-1.4501268527479048,diesel,-0.8429378300160029,cvt,coupe,gray,second owner,14572.74,-0.6453168256504224
toyota,model c,1.3663412118519984,0.8156001933114783,electric,0.8019878383765466,automatic,suv,black,third owner,19965.96,-1.3663412118520115
honda,model c,-0.5083221922721335,-0.43982528527225695,diesel,-0.236912583766116,manual,truck,blue,second owner,14268.38,0.5083221922721205
hyundai,model b,0.06849731668913786,0.9099895904049962,hybrid,-0.6697877596588921,manual,coupe,gray,third owner,11666.21,-0.06849731668915093
honda,model b,-1.3735514557140405,-0.9319687641939854,hybrid,-0.6697877596588921,manual,suv,blue,first owner,11352.07,1.3735514557140276
toyota,model c,-0.07570756055117998,0.1146244951791828,hybrid,-0.06376251340900574,automatic,sedan,white,first owner,9374.85,0.07570756055116692
ford,model b,-1.3735514557140405,-0.8088822243943797,diesel,-0.4100626541232266,automatic,coupe,black,first owner,9742.61,1.3735514557140276
kia,model b,1.2221363346116805,-1.396046985978144,diesel,0.8019878383765466,cvt,truck,blue,third owner,17619.68,-1.2221363346116938
bmw,model c,0.2127021939294557,1.6587143772526558,diesel,0.6288377680194365,cvt,suv,blue,third owner,17634.7,-0.2127021939294688
toyota,model d,1.654750966332634,-0.31237515833911234,petrol,0.888562873555102,manual,suv,blue,second owner,20140.41,-1.6547509663326474
mercedes,model c,-0.6525270695124513,-0.590917470363346,petrol,-1.275813005908779,manual,coupe,red,third owner,15091.92,0.6525270695124383
mercedes,model d,-1.0851417012334048,0.8585803343399148,petrol,0.5422627328408811,automatic,hatchback,blue,third owner,13726.71,1.085141701233392
kia,model d,-0.36411731503181566,0.025790922140935778,petrol,0.4556876976623258,automatic,truck,gray,first owner,11546.22,0.3641173150318026
nissan,model a,0.35690707116977355,1.7118523768542486,hybrid,0.9751379087336569,automatic,coupe,black,first owner,10890.98,-0.35690707116978665
bmw,model d,1.2221363346116805,0.934919264438411,petrol,0.6288377680194365,automatic,hatchback,red,second owner,20977.89,-1.2221363346116938
ford,model b,-0.21991243779149783,0.13393873331124026,hybrid,0.19596259212666023,cvt,coupe,red,first owner,10380.65,0.21991243779148478
volkswagen,model b,-1.0851417012334048,0.6627196528377913,electric,0.888562873555102,automatic,truck,white,third owner,9715.09,1.085141701233392
toyota,model a,-1.2293465784737228,1.150249174872417,petrol,1.4080130846264332,manual,suv,blue,second owner,6713.54,1.2293465784737099
chevrolet,model b,-0.5083221922721335,-0.5133505362354659,petrol,0.28253762730521514,cvt,sedan,blue,third owner,12369.25,0.5083221922721205
mercedes,model d,-1.0851417012334048,-0.18907401589359485,electric,0.7154128031979914,automatic,sedan,black,first owner,17882.95,1.085141701233392
toyota,model d,-1.6619612101946761,-1.3073684037397222,diesel,-0.9295128651945581,automatic,truck,blue,second owner,9875.82,1.6619612101946633
mercedes,model a,-1.3735514557140405,-1.5451839025175926,diesel,0.5422627328408811,automatic,coupe,black,third owner,13217.07,1.3735514557140276
toyota,model e,-1.0851417012334048,-0.24030443642041643,petrol,0.1093875569481049,manual,suv,red,first owner,9210.41,1.085141701233392
hyundai,model a,-1.2293465784737228,-1.3844822878373442,electric,-0.9295128651945581,automatic,sedan,blue,third owner,14971.94,1.2293465784737099
mercedes,model c,-0.36411731503181566,0.10475277346724232,diesel,-0.6697877596588921,cvt,truck,black,second owner,14360.65,0.3641173150318026
kia,model d,0.2127021939294557,-1.3302355078985408,diesel,-0.3234876189446713,automatic,sedan,black,second owner,16354.41,-0.2127021939294688
toyota,model b,0.7895217028907271,-1.4112837738378783,hybrid,0.19596259212666023,manual,sedan,red,third owner,15707.68,-0.7895217028907402
chevrolet,model b,-0.940936823993087,0.2093477186107856,diesel,0.9751379087336569,cvt,hatchback,black,second owner,7210.27,0.9409368239930741
bmw,model c,0.9337265801310449,0.7946764353350827,electric,-0.3234876189446713,automatic,sedan,blue,second owner,23957.78,-0.933726580131058
toyota,model d,1.3663412118519984,0.6465886872867581,diesel,-1.1026629355516686,automatic,suv,gray,third owner,17500.4,-1.3663412118520115
mercedes,model e,1.2221363346116805,-0.5278958266805955,diesel,0.7154128031979914,automatic,hatchback,gray,first owner,21597.86,-1.2221363346116938
nissan,model e,1.3663412118519984,0.18671906183631334,electric,1.1482879790907676,manual,sedan,blue,first owner,18414.41,-1.3663412118520115
kia,model c,-0.36411731503181566,0.019913194116797303,electric,-1.6221131466229999,manual,hatchback,gray,third owner,12119.43,0.3641173150318026
hyundai,model c,-0.5083221922721335,0.22152045758166874,electric,0.8019878383765466,manual,truck,white,second owner,11818.89,0.5083221922721205
mercedes,model c,-0.5083221922721335,0.43717227198454245,hybrid,0.5422627328408811,manual,sedan,gray,first owner,14091.51,0.5083221922721205
chevrolet,model b,-0.7967319467527691,1.2406922677550023,hybrid,-0.15033754858756104,automatic,sedan,gray,third owner,7940.04,0.7967319467527562
hyundai,model c,0.2127021939294557,1.5076818040076534,electric,-1.3623880410873344,automatic,truck,black,third owner,14559.93,-0.2127021939294688
nissan,model b,-0.7967319467527691,-0.6487648058057799,electric,-0.5832127244803372,automatic,hatchback,blue,first owner,13119.83,0.7967319467527562
mercedes,model c,-1.3735514557140405,0.11963189025045695,hybrid,0.36911266248377045,cvt,suv,white,first owner,12918.58,1.3735514557140276
mercedes,model d,-1.6619612101946761,0.1805551969509592,diesel,-0.06376251340900574,cvt,coupe,black,second owner,10924.7,1.6619612101946633
