Make,Model,Year,Mileage,Fuel Type,Engine Size,Transmission,Body Type,Color,Owner History,Price,Age
Volkswagen,Model B,2017,213861,Petrol,1.8,CVT,SUV,Gray,First Owner,13756.2,6
Hyundai,Model B,2010,257723,Petrol,4.2,CVT,Sedan,Red,Third Owner,9792.04,13
Ford,Model E,2015,130245,Petrol,4.1,Automatic,Truck,Blue,Second Owner,16045.03,8
Chevrolet,Model C,2005,258931,Petrol,4.1,CVT,Coupe,Gray,Third Owner,8524.45,18
Toyota,Model C,2014,207470,Petrol,3.8,Automatic,Coupe,Black,First Owner,14411.87,9
Mercedes,Model A,2009,35487,Hybrid,4.6,Manual,Hatchback,Black,First Owner,19851.51,14
Kia,Model D,2023,201344,Electric,4.9,Automatic,Sedan,Black,Second Owner,20245.08,0
Volkswagen,Model C,2007,242901,Petrol,1.8,Automatic,Coupe,Blue,First Owner,7259.05,16
Mercedes,Model A,2017,232582,Hybrid,3.1,Automatic,Hatchback,Black,Second Owner,18016.17,6
Hyundai,Model A,2002,145794,Petrol,1.5,CVT,Sedan,Black,First Owner,9002.7,21
Ford,Model A,2010,172080,Diesel,3.0,CVT,Hatchback,Gray,Third Owner,9904.33,13
Mercedes,Model A,2018,117638,Hybrid,1.3,CVT,Truck,Black,Third Owner,22369.62,5
BMW,Model B,2003,270417,Diesel,2.7,Automatic,Truck,Red,First Owner,13293.44,20
Ford,Model B,2012,219460,Electric,4.0,Automatic,Coupe,Blue,Second Owner,13826.46,11
Honda,Model E,2020,101773,Electric,2.2,CVT,Sedan,White,First Owner,20464.76,3
Hyundai,Model E,2001,23669,Diesel,3.3,CVT,Sedan,Black,Second Owner,9302.5,22
Hyundai,Model D,2004,74359,Petrol,3.7,Manual,Sedan,Blue,Third Owner,12028.55,19
Honda,Model C,2010,132933,Electric,2.7,Manual,Hatchback,White,Third Owner,14789.63,13
Honda,Model B,2018,45831,Hybrid,4.2,Automatic,Coupe,Gray,Third Owner,16525.96,5
Chevrolet,Model A,2007,249320,Hybrid,4.0,Manual,Truck,Red,First Owner,10920.2,16
Kia,Model E,2008,148187,Petrol,4.7,Manual,Sedan,Gray,Second Owner,12562.14,15
Nissan,Model D,2007,23014,Diesel,4.7,Manual,Hatchback,White,Third Owner,11404.04,16
Kia,Model B,2004,8003,Hybrid,3.4,CVT,Sedan,White,First Owner,12350.24,19
Volkswagen,Model B,2019,149461,Hybrid,2.0,Manual,Hatchback,Gray,Second Owner,18343.11,4
Hyundai,Model E,2013,172299,Diesel,4.9,Automatic,Sedan,Black,First Owner,10350.06,10
Toyota,Model A,2015,254544,Diesel,1.4,Manual,SUV,White,Second Owner,14717.58,8
Mercedes,Model A,2015,117825,Hybrid,1.7,CVT,Coupe,Gray,First Owner,20126.74,8
Chevrolet,Model C,2020,217257,Petrol,1.4,Automatic,Truck,Gray,Second Owner,15418.11,3
Ford,Model E,2002,78019,Diesel,3.1,Manual,Coupe,Blue,Third Owner,8570.96,21
Toyota,Model C,2000,122523,Hybrid,4.2,Automatic,Truck,Gray,Third Owner,7352.56,23
Toyota,Model E,2002,250338,Hybrid,3.1,Manual,Hatchback,Blue,Third Owner,4758.41,21
Mercedes,Model D,2011,57346,Hybrid,4.9,Automatic,SUV,Gray,Second Owner,17162.26,12
Nissan,Model A,2014,291086,Petrol,1.4,CVT,Truck,Blue,Second Owner,14179.56,9
Hyundai,Model A,2005,185638,Hybrid,2.1,CVT,SUV,Black,Second Owner,6334.61,18
Hyundai,Model B,2021,230727,Diesel,2.7,CVT,SUV,Blue,Second Owner,15299.47,2
Nissan,Model D,2011,281981,Petrol,4.6,Automatic,Hatchback,Blue,First Owner,10766.35,12
Toyota,Model D,2002,271400,Hybrid,2.2,CVT,Sedan,Black,Third Owner,6710.02,21
BMW,Model A,2019,22493,Diesel,1.8,CVT,Sedan,Red,Second Owner,23456.76,4
Kia,Model B,2005,160182,Diesel,3.1,Manual,Sedan,Red,Third Owner,9627.76,18
Kia,Model C,2022,264248,Hybrid,2.9,Automatic,Coupe,Red,First Owner,17612.23,1
Volkswagen,Model E,2022,127019,Petrol,2.0,Manual,Hatchback,Gray,Third Owner,20108.59,1
Volkswagen,Model E,2003,148072,Electric,3.3,Manual,Coupe,Red,Third Owner,12957.51,20
Ford,Model E,2007,127654,Petrol,4.2,Manual,Coupe,Black,First Owner,10365.73,16
Kia,Model D,2009,15993,Hybrid,4.2,Manual,Hatchback,White,Third Owner,11234.49,14
Nissan,Model C,2009,196604,Diesel,1.7,Automatic,Truck,Gray,Third Owner,9472.47,14
Kia,Model D,2009,9204,Diesel,3.1,Manual,SUV,White,Third Owner,14027.32,14
Chevrolet,Model E,2014,251661,Electric,2.4,Automatic,Coupe,Black,Third Owner,17178.66,9
Volkswagen,Model B,2009,297416,Hybrid,2.9,Automatic,Hatchback,Red,Third Owner,9360.02,14
Honda,Model A,2005,78614,Petrol,4.1,CVT,Sedan,Red,Third Owner,12435.23,18
Hyundai,Model D,2012,18002,Electric,4.2,Manual,SUV,Red,Third Owner,18248.09,11
Honda,Model C,2007,144836,Electric,3.9,CVT,SUV,Black,First Owner,16868.72,16
Honda,Model D,2001,262730,Hybrid,1.7,Automatic,Sedan,Black,First Owner,7981.74,22
Volkswagen,Model E,2010,137854,Petrol,2.4,CVT,Hatchback,Blue,First Owner,12371.12,13
Kia,Model B,2008,159061,Electric,2.2,CVT,Sedan,Gray,Second Owner,13935.1,15
Toyota,Model E,2001,141979,Electric,1.9,Automatic,Sedan,White,First Owner,12296.99,22
Mercedes,Model B,2006,188298,Electric,3.5,CVT,Sedan,Gray,Third Owner,18196.7,17
Hyundai,Model E,2019,42373,Electric,2.8,CVT,Coupe,White,Second Owner,21448.34,4
Ford,Model C,2015,247385,Hybrid,2.7,CVT,SUV,Gray,Third Owner,14158.81,8
Chevrolet,Model C,2018,58179,Diesel,2.8,Manual,SUV,Red,First Owner,16968.73,5
Toyota,Model B,2009,116205,Hybrid,4.7,CVT,Sedan,Red,First Owner,13585.9,14
Hyundai,Model A,2018,278370,Electric,3.0,Automatic,SUV,Blue,Second Owner,17586.52,5
Volkswagen,Model B,2001,162629,Electric,2.3,Manual,Coupe,White,Second Owner,7403.02,22
Kia,Model A,2022,71955,Petrol,1.4,Automatic,Coupe,Blue,Second Owner,19349.66,1
BMW,Model B,2019,201885,Diesel,1.6,Automatic,Truck,Gray,Third Owner,19173.36,4
BMW,Model A,2014,181744,Petrol,2.2,Automatic,Hatchback,Red,Second Owner,16416.82,9
Toyota,Model A,2011,148824,Petrol,4.3,Manual,Hatchback,Gray,Third Owner,12662.03,12
BMW,Model E,2022,39169,Electric,3.8,Manual,Sedan,Blue,Third Owner,28792.7,1
Toyota,Model B,2019,248902,Diesel,3.1,Automatic,Sedan,White,First Owner,16093.24,4
Hyundai,Model D,2004,178009,Hybrid,4.3,Automatic,Coupe,Blue,Second Owner,7307.72,19
Toyota,Model A,2023,184119,Hybrid,2.5,Automatic,Hatchback,Red,Second Owner,16085.92,0
Hyundai,Model D,2003,159714,Diesel,3.5,Automatic,Hatchback,Gray,Second Owner,5773.53,20
Ford,Model A,2014,134897,Diesel,1.3,Manual,Coupe,White,Third Owner,17058.4,9
Ford,Model E,2018,33346,Hybrid,1.1,Automatic,Truck,Blue,Second Owner,17210.81,5
Honda,Model A,2007,141478,Diesel,4.5,Automatic,Hatchback,Gray,Third Owner,10446.5,16
Toyota,Model B,2022,193331,Hybrid,3.6,CVT,Coupe,White,First Owner,18223.4,1
Volkswagen,Model D,2006,243026,Hybrid,4.8,CVT,Coupe,Black,Third Owner,7232.69,17
Hyundai,Model C,2017,37510,Petrol,2.9,Manual,Hatchback,Gray,Second Owner,16260.19,6
Mercedes,Model B,2001,73605,Electric,3.5,Manual,Coupe,Red,Second Owner,15001.8,22
Mercedes,Model C,2019,143060,Hybrid,4.3,CVT,Hatchback,Gray,First Owner,24459.02,4
Volkswagen,Model C,2021,230150,Hybrid,1.7,Manual,Sedan,Blue,First Owner,16609.11,2
Mercedes,Model C,2003,41767,Petrol,3.1,Automatic,SUV,Blue,Third Owner,16580.45,20
Honda,Model A,2010,98194,Hybrid,4.9,Automatic,Coupe,Black,Second Owner,14977.79,13
Honda,Model B,2018,190939,Petrol,1.3,Manual,Truck,Gray,First Owner,13161.42,5
Toyota,Model C,2004,49286,Diesel,1.3,Automatic,Truck,White,First Owner,12495.54,19
Hyundai,Model D,2022,243955,Diesel,2.3,Automatic,Truck,Gray,First Owner,17006.08,1
Mercedes,Model A,2004,206880,Electric,4.8,Automatic,Truck,Black,First Owner,16166.34,19
Volkswagen,Model E,2018,38246,Diesel,1.9,Automatic,Truck,Black,First Owner,17842.16,5
BMW,Model A,2017,294874,Diesel,2.0,Manual,SUV,Gray,Second Owner,17889.13,6
Ford,Model E,2015,219121,Hybrid,3.3,Manual,Hatchback,Blue,Second Owner,14659.12,8
Volkswagen,Model E,2002,240801,Petrol,2.6,Automatic,Sedan,Gray,First Owner,7207.17,21
Nissan,Model C,2008,58865,Hybrid,1.6,CVT,Truck,Blue,First Owner,11349.26,15
Mercedes,Model B,2023,282167,Hybrid,1.4,Automatic,Hatchback,Red,Second Owner,21212.86,0
Kia,Model A,2018,227607,Diesel,3.1,Manual,Sedan,White,Third Owner,13406.74,5
Kia,Model C,2021,9046,Diesel,4.8,Automatic,Hatchback,Red,Second Owner,18332.89,2
Kia,Model C,2006,86387,Hybrid,2.3,Automatic,Hatchback,Black,Third Owner,12671.84,17
Nissan,Model D,2014,204382,Hybrid,4.8,Manual,Truck,White,Third Owner,12258.63,9
Hyundai,Model C,2020,170929,Diesel,4.6,Manual,Truck,Gray,Second Owner,15621.42,3
BMW,Model C,2014,196679,Diesel,3.6,Automatic,Coupe,Blue,Third Owner,16987.2,9
Honda,Model B,2013,224047,Diesel,2.4,Automatic,SUV,Red,First Owner,11043.53,10
Ford,Model D,2019,298530,Hybrid,3.9,Manual,Hatchback,White,First Owner,13723.39,4
Toyota,Model A,2007,62560,Diesel,2.9,Manual,Hatchback,Gray,Second Owner,12038.45,16
Toyota,Model A,2016,226136,Hybrid,4.4,CVT,Hatchback,Black,First Owner,14301.13,7
Chevrolet,Model D,2019,298226,Hybrid,3.3,Automatic,Sedan,Blue,Third Owner,16818.63,4
Honda,Model A,2015,136756,Electric,2.5,Manual,Sedan,Blue,First Owner,18500.21,8
Nissan,Model D,2009,69835,Hybrid,4.4,Manual,Coupe,White,First Owner,11132.02,14
Hyundai,Model D,2021,19406,Petrol,2.6,Manual,Hatchback,Red,Third Owner,18073.84,2
BMW,Model B,2016,93650,Electric,4.8,CVT,Coupe,Red,Third Owner,23535.46,7
Volkswagen,Model E,2011,153611,Petrol,5.0,Automatic,Coupe,Red,Third Owner,11315.69,12
Honda,Model B,2018,76677,Petrol,2.7,CVT,Hatchback,Gray,Third Owner,17177.18,5
Toyota,Model B,2011,220705,Diesel,1.1,CVT,Sedan,Blue,First Owner,10284.29,12
Hyundai,Model D,2002,43431,Electric,1.6,Manual,Coupe,Black,First Owner,11655.98,21
Hyundai,Model C,2009,84129,Electric,1.6,Manual,Truck,Black,Third Owner,14851.73,14
Honda,Model A,2023,296998,Electric,3.1,CVT,Sedan,White,Second Owner,18933.81,0
BMW,Model B,2000,68761,Petrol,1.5,Manual,Sedan,Blue,Second Owner,14297.27,23
Hyundai,Model A,2005,39135,Hybrid,3.8,Automatic,Truck,Black,First Owner,10657.16,18
Nissan,Model B,2015,87733,Diesel,3.3,CVT,Truck,Blue,First Owner,14186.95,8
Nissan,Model E,2002,130560,Hybrid,4.3,CVT,Hatchback,Red,First Owner,7623.42,21
Kia,Model D,2012,57785,Diesel,4.3,Automatic,Sedan,Blue,Second Owner,14867.39,11
Toyota,Model E,2002,139219,Electric,4.9,Manual,Sedan,Black,Third Owner,14446.68,21
Ford,Model C,2015,19911,Electric,1.4,CVT,Coupe,Black,First Owner,17572.25,8
Ford,Model B,2005,85794,Petrol,1.6,CVT,Truck,Black,Third Owner,9225.72,18
Ford,Model A,2013,41961,Diesel,2.3,Automatic,SUV,Blue,Second Owner,15057.46,10
Nissan,Model D,2002,159155,Petrol,2.4,Manual,Truck,Red,First Owner,7503.92,21
BMW,Model B,2021,128977,Petrol,3.9,CVT,SUV,White,Second Owner,24635.79,2
Kia,Model E,2022,76022,Hybrid,1.1,Manual,Truck,Gray,Third Owner,18952.25,1
Volkswagen,Model A,2011,244099,Petrol,4.1,Manual,Coupe,Gray,Third Owner,9661.67,12
Hyundai,Model C,2022,126803,Diesel,4.0,Automatic,Truck,Red,Second Owner,20112.1,1
Hyundai,Model D,2001,273121,Petrol,1.6,Manual,Coupe,Gray,First Owner,4440.42,22
Mercedes,Model E,2022,72705,Hybrid,1.0,Automatic,Coupe,Gray,First Owner,23950.24,1
Chevrolet,Model B,2023,148790,Petrol,4.9,Manual,Sedan,Gray,Third Owner,20119.23,0
Hyundai,Model A,2013,260963,Hybrid,4.5,Manual,Coupe,Gray,Second Owner,10084.54,10
Mercedes,Model A,2012,118399,Hybrid,4.8,CVT,Sedan,Blue,Second Owner,18997.88,11
Kia,Model A,2010,246624,Hybrid,2.6,CVT,Hatchback,White,Second Owner,11456.87,13
Hyundai,Model C,2017,158460,Diesel,1.9,Automatic,Truck,Black,Third Owner,12689.77,6
Honda,Model E,2023,37369,Hybrid,1.5,Automatic,Truck,Red,First Owner,18685.99,0
Kia,Model B,2017,168209,Diesel,3.8,CVT,Coupe,Black,Third Owner,12931.67,6
Volkswagen,Model C,2006,14891,Diesel,4.6,Automatic,SUV,White,Second Owner,11740.72,17
Nissan,Model E,2005,130514,Diesel,1.7,Automatic,SUV,Black,First Owner,12054.35,18
Honda,Model A,2004,148323,Diesel,4.7,CVT,SUV,White,First Owner,11891.23,19
BMW,Model D,2015,265845,Electric,2.3,Automatic,Hatchback,Black,First Owner,22661.96,8
Hyundai,Model C,2017,219904,Electric,2.0,Manual,Coupe,Red,Second Owner,17042.63,6
Ford,Model A,2011,59919,Hybrid,4.1,Automatic,SUV,White,Second Owner,14128.86,12
Volkswagen,Model A,2021,50585,Hybrid,1.7,CVT,Hatchback,Gray,Second Owner,19307.47,2
Mercedes,Model B,2017,156865,Diesel,3.4,Manual,Truck,Blue,Third Owner,18406.5,6
Honda,Model B,2009,130864,Petrol,4.2,Automatic,SUV,Black,First Owner,12610.02,14
Honda,Model A,2017,250007,Electric,2.6,Manual,Coupe,Gray,Third Owner,17032.06,6
Mercedes,Model C,2012,121981,Diesel,1.0,Automatic,Hatchback,Blue,Third Owner,20713.16,11
Mercedes,Model C,2006,265162,Petrol,4.1,CVT,Truck,Red,Third Owner,12376.5,17
Hyundai,Model A,2006,247947,Diesel,3.2,CVT,SUV,Gray,First Owner,8629.39,17
Hyundai,Model E,2009,141334,Hybrid,4.0,CVT,Coupe,Blue,First Owner,11614.84,14
Ford,Model C,2023,202905,Petrol,2.2,Automatic,Sedan,Black,Third Owner,17284.07,0
Honda,Model A,2012,114888,Petrol,4.1,CVT,Coupe,Gray,First Owner,13808.05,11
Volkswagen,Model D,2022,240510,Electric,4.7,Manual,SUV,Black,Second Owner,17913.74,1
Volkswagen,Model A,2018,64618,Hybrid,4.4,CVT,Coupe,White,Second Owner,17324.25,5
Ford,Model A,2010,209231,Hybrid,4.2,Manual,Sedan,Gray,Second Owner,11897.93,13
Mercedes,Model C,2017,169371,Electric,5.0,Manual,Hatchback,White,Third Owner,23917.75,6
Hyundai,Model A,2009,105003,Hybrid,1.7,Manual,Truck,Blue,Third Owner,12703.83,14
Volkswagen,Model E,2015,212023,Hybrid,2.3,CVT,Truck,Blue,Third Owner,14064.32,8
Volkswagen,Model B,2017,287427,Electric,4.7,Automatic,Truck,Blue,First Owner,17553.72,6
Chevrolet,Model D,2006,8182,Diesel,4.7,Automatic,Hatchback,Black,First Owner,12244.55,17
Nissan,Model B,2018,286424,Hybrid,3.8,Automatic,Coupe,Blue,First Owner,12573.5,5
Ford,Model D,2020,200653,Diesel,2.8,Automatic,Sedan,Blue,First Owner,15584.2,3
Chevrolet,Model B,2000,81470,Petrol,2.4,CVT,SUV,Gray,Second Owner,8104.91,23
BMW,Model D,2005,222060,Electric,2.0,CVT,Hatchback,Gray,Third Owner,15786.78,18
Mercedes,Model A,2007,128587,Diesel,2.7,Automatic,Coupe,Red,Second Owner,16774.91,16
Mercedes,Model E,2013,118174,Petrol,3.8,Automatic,Hatchback,Gray,Third Owner,21151.02,10
Mercedes,Model E,2004,117935,Petrol,1.6,Manual,SUV,Blue,First Owner,15311.32,19
Chevrolet,Model A,2019,212477,Petrol,2.7,CVT,Hatchback,Red,Third Owner,16493.52,4
Nissan,Model A,2022,290675,Hybrid,1.5,CVT,Coupe,Black,Second Owner,16865.08,1
Hyundai,Model D,2020,104157,Petrol,3.0,CVT,Coupe,White,Second Owner,17718.59,3
BMW,Model B,2008,157276,Electric,3.5,CVT,Truck,White,Third Owner,19360.96,15
Chevrolet,Model A,2008,90409,Diesel,3.1,CVT,Sedan,Black,Second Owner,11527.2,15
Ford,Model D,2000,274066,Diesel,3.9,Manual,Sedan,Red,First Owner,6821.81,23
Volkswagen,Model C,2013,241938,Hybrid,4.1,Automatic,Sedan,Black,Third Owner,10251.41,10
Volkswagen,Model C,2012,16559,Hybrid,4.6,Manual,Sedan,Blue,Third Owner,15423.85,11
BMW,Model D,2007,37118,Electric,3.3,CVT,Truck,Red,First Owner,18317.8,16
Nissan,Model A,2009,256974,Diesel,3.9,Automatic,SUV,Red,First Owner,10948.85,14
Toyota,Model C,2011,86246,Diesel,1.2,CVT,Hatchback,Red,Third Owner,13449.59,12
Hyundai,Model B,2000,75228,Petrol,2.9,Automatic,Hatchback,Red,Third Owner,8823.4,23
BMW,Model C,2006,19606,Petrol,4.3,Manual,Hatchback,Gray,Second Owner,16761.9,17
Hyundai,Model B,2023,174443,Diesel,3.1,Manual,Coupe,White,First Owner,17711.57,0
Toyota,Model C,2010,140247,Electric,3.5,CVT,Coupe,Red,Second Owner,16623.7,13
Nissan,Model D,2005,28957,Diesel,3.3,Manual,Sedan,Blue,First Owner,10602.73,18
Chevrolet,Model C,2008,220939,Diesel,4.8,Automatic,Coupe,Blue,First Owner,7981.88,15
Kia,Model B,2006,222478,Diesel,2.2,Manual,SUV,Gray,Third Owner,7695.04,17
Kia,Model A,2000,165490,Electric,2.5,CVT,Truck,Blue,Second Owner,9934.69,23
BMW,Model C,2000,203168,Diesel,2.2,CVT,Coupe,Blue,Third Owner,12432.68,23
Nissan,Model A,2021,143327,Petrol,3.1,CVT,SUV,Red,Third Owner,20766.2,2
Nissan,Model D,2014,46535,Petrol,3.5,CVT,Hatchback,White,Second Owner,13593.11,9
Ford,Model C,2016,138820,Petrol,2.3,CVT,Truck,Gray,Third Owner,16900.56,7
BMW,Model C,2014,191740,Diesel,3.4,CVT,Hatchback,Black,Second Owner,16851.63,9
Nissan,Model D,2023,148504,Electric,2.8,CVT,Coupe,Black,First Owner,22483.23,0
Ford,Model B,2003,249234,Hybrid,2.2,Automatic,Coupe,Gray,Second Owner,6641.65,20
Kia,Model B,2015,183193,Diesel,2.0,Automatic,Sedan,White,Second Owner,12912.29,8
Ford,Model E,2018,192702,Diesel,4.8,Manual,Hatchback,White,First Owner,14885.0,5
Mercedes,Model B,2015,23903,Diesel,2.4,CVT,Hatchback,White,Third Owner,19073.61,8
Ford,Model E,2022,181681,Electric,4.3,CVT,Coupe,White,Third Owner,18527.94,1
Hyundai,Model A,2016,67315,Hybrid,3.5,Automatic,SUV,White,First Owner,15632.46,7
Nissan,Model C,2015,217595,Petrol,4.0,Manual,Truck,Black,Second Owner,14236.08,8
Chevrolet,Model A,2006,283147,Diesel,4.3,CVT,Coupe,Blue,First Owner,7595.3,17
Ford,Model B,2011,276547,Petrol,4.2,CVT,Hatchback,Blue,First Owner,9598.33,12
Kia,Model C,2009,143050,Hybrid,3.7,CVT,Coupe,Gray,First Owner,14622.51,14
Chevrolet,Model B,2009,96715,Hybrid,4.9,Manual,Hatchback,Black,Second Owner,11700.08,14
Nissan,Model A,2012,148435,Petrol,1.0,Automatic,SUV,Gray,First Owner,13430.03,11
Nissan,Model B,2018,273320,Diesel,4.6,Manual,Sedan,Gray,Second Owner,14757.23,5
Nissan,Model A,2006,193016,Petrol,4.9,Manual,Hatchback,White,First Owner,9458.26,17
Kia,Model C,2005,245683,Petrol,2.6,CVT,Hatchback,Blue,Second Owner,7130.28,18
Chevrolet,Model B,2008,72442,Diesel,2.7,CVT,SUV,Black,Third Owner,12194.13,15
Mercedes,Model E,2018,38897,Petrol,4.4,Automatic,Truck,Blue,Second Owner,23103.26,5
Ford,Model E,2017,165016,Electric,3.5,CVT,Coupe,Blue,First Owner,15453.0,6
Ford,Model D,2010,95868,Diesel,1.4,Manual,Sedan,Red,First Owner,12656.36,13
Honda,Model D,2003,282313,Petrol,3.3,CVT,Coupe,White,First Owner,8143.33,20
Kia,Model B,2004,85265,Hybrid,3.1,CVT,SUV,White,Second Owner,10819.92,19
Hyundai,Model D,2011,158317,Diesel,1.9,Automatic,Truck,Black,First Owner,10059.74,12
Volkswagen,Model A,2018,233707,Hybrid,1.0,Automatic,Sedan,White,First Owner,15040.94,5
BMW,Model B,2008,222334,Hybrid,1.1,Automatic,SUV,Black,First Owner,12555.09,15
Toyota,Model E,2008,52899,Diesel,3.4,Automatic,Truck,White,First Owner,14175.48,15
Hyundai,Model A,2020,134842,Hybrid,1.3,Automatic,Coupe,White,Third Owner,19001.33,3
Honda,Model A,2000,252114,Petrol,1.3,CVT,Coupe,Red,First Owner,3867.76,23
Volkswagen,Model E,2019,58544,Diesel,1.6,Automatic,SUV,White,Second Owner,17032.8,4
Nissan,Model B,2015,173387,Hybrid,2.6,Automatic,Truck,Black,First Owner,12090.5,8
Hyundai,Model C,2021,259393,Electric,2.7,Automatic,Hatchback,White,Third Owner,17987.81,2
Kia,Model A,2011,172338,Hybrid,3.6,Manual,Sedan,White,Second Owner,11583.85,12
Mercedes,Model C,2017,63014,Diesel,5.0,CVT,Truck,Blue,Second Owner,23192.85,6
Volkswagen,Model A,2019,111949,Diesel,2.5,CVT,Hatchback,White,Second Owner,19523.91,4
Toyota,Model A,2011,88114,Diesel,3.6,Manual,Coupe,White,First Owner,13201.6,12
Chevrolet,Model A,2016,210322,Hybrid,4.8,CVT,SUV,Red,Second Owner,15366.03,7
Chevrolet,Model B,2010,88004,Diesel,4.7,Manual,Truck,White,First Owner,12783.1,13
BMW,Model E,2012,264168,Petrol,1.9,Manual,Sedan,White,Third Owner,18085.2,11
Mercedes,Model A,2013,128434,Hybrid,1.7,Manual,Coupe,Gray,Third Owner,21682.6,10
Ford,Model A,2013,299044,Petrol,3.0,CVT,Truck,Red,Third Owner,11324.86,10
Nissan,Model D,2017,158587,Petrol,1.6,CVT,Coupe,White,Third Owner,14218.98,6
BMW,Model A,2009,83009,Diesel,2.0,Manual,SUV,Red,First Owner,18938.31,14
Ford,Model A,2023,125988,Electric,4.0,CVT,Sedan,Blue,Second Owner,23900.81,0
Toyota,Model E,2019,228071,Petrol,2.5,CVT,SUV,Blue,First Owner,16515.76,4
Kia,Model B,2008,51986,Electric,3.8,CVT,Hatchback,White,Second Owner,13518.71,15
BMW,Model E,2014,122015,Petrol,3.1,CVT,Sedan,White,Second Owner,18679.61,9
Nissan,Model A,2018,204864,Electric,2.3,Automatic,Sedan,Gray,Second Owner,19015.54,5
Nissan,Model D,2010,201623,Diesel,2.3,Automatic,SUV,Black,Third Owner,9084.71,13
Volkswagen,Model C,2022,43192,Diesel,3.5,CVT,Truck,Black,Second Owner,21309.3,1
Kia,Model D,2011,93983,Petrol,3.0,Manual,Truck,Red,First Owner,15863.32,12
Nissan,Model B,2009,85003,Hybrid,4.8,Manual,Sedan,White,First Owner,14403.21,14
BMW,Model A,2000,13547,Diesel,2.7,CVT,SUV,White,Second Owner,15068.85,23
Kia,Model A,2011,37786,Petrol,2.2,CVT,Hatchback,Blue,First Owner,14838.73,12
Volkswagen,Model D,2005,276147,Diesel,4.4,Manual,Coupe,White,First Owner,7122.62,18
Chevrolet,Model A,2010,252960,Petrol,2.0,Manual,Truck,White,First Owner,9589.19,13
Hyundai,Model A,2007,105317,Diesel,2.0,Manual,Hatchback,Red,Third Owner,11819.58,16
Honda,Model E,2010,39795,Electric,4.0,Manual,Sedan,Black,First Owner,17925.59,13
Mercedes,Model A,2010,196939,Hybrid,2.1,Automatic,SUV,White,First Owner,15816.55,13
Hyundai,Model C,2022,9235,Electric,1.7,Automatic,Hatchback,Blue,Second Owner,20776.62,1
Hyundai,Model A,2004,46190,Hybrid,1.2,Automatic,Coupe,Red,First Owner,9522.82,19
BMW,Model B,2015,195095,Diesel,4.3,CVT,SUV,Red,Second Owner,17443.01,8
Kia,Model C,2021,209653,Electric,1.8,Automatic,Hatchback,White,First Owner,18421.68,2
Volkswagen,Model C,2013,233921,Diesel,1.7,Manual,Truck,White,Second Owner,10218.47,10
Chevrolet,Model D,2000,68545,Diesel,2.2,Automatic,Truck,Gray,First Owner,9148.3,23
Honda,Model E,2018,42445,Diesel,1.6,Manual,Truck,Gray,Third Owner,18368.61,5
Ford,Model D,2008,69533,Electric,3.1,CVT,Coupe,Gray,Third Owner,16544.02,15
Hyundai,Model B,2012,165853,Electric,3.2,CVT,Coupe,Red,Second Owner,15805.98,11
Chevrolet,Model C,2023,183069,Hybrid,1.8,Automatic,Sedan,Black,Third Owner,15140.3,0
Chevrolet,Model B,2014,5048,Electric,4.6,CVT,Coupe,White,Third Owner,19871.25,9
Mercedes,Model B,2021,262768,Petrol,3.9,Automatic,Truck,Blue,First Owner,21800.5,2
Mercedes,Model A,2023,220966,Hybrid,4.9,Manual,SUV,White,First Owner,20426.17,0
Ford,Model B,2010,190312,Electric,3.7,CVT,SUV,Gray,Third Owner,14705.19,13
Mercedes,Model E,2023,172666,Hybrid,3.0,Automatic,Coupe,Gray,First Owner,21004.82,0
Kia,Model A,2011,183562,Hybrid,3.4,CVT,Truck,Red,Third Owner,10904.33,12
Honda,Model B,2001,148191,Diesel,1.4,Manual,Coupe,Gray,Third Owner,10472.21,22
Volkswagen,Model E,2010,88014,Diesel,4.3,Manual,Sedan,Gray,Second Owner,14662.24,13
Mercedes,Model C,2014,82185,Electric,1.3,Automatic,Coupe,Gray,Second Owner,21769.03,9
Nissan,Model D,2012,132132,Petrol,4.5,CVT,Hatchback,White,Third Owner,16035.39,11
Toyota,Model A,2018,101540,Diesel,3.0,CVT,SUV,Red,First Owner,19326.08,5
Hyundai,Model D,2005,57851,Petrol,1.3,CVT,SUV,Black,Second Owner,12009.84,18
Volkswagen,Model B,2012,299374,Electric,2.7,Manual,Hatchback,Gray,Third Owner,15962.7,11
Toyota,Model E,2005,43259,Electric,4.3,Automatic,Hatchback,Red,First Owner,14677.56,18
Chevrolet,Model B,2005,174734,Diesel,3.8,CVT,Hatchback,Red,First Owner,8412.08,18
Kia,Model A,2017,202034,Petrol,3.8,Automatic,SUV,Gray,First Owner,12022.71,6
BMW,Model D,2023,9193,Petrol,1.6,CVT,Hatchback,Gray,Third Owner,24650.38,0
Toyota,Model E,2006,259059,Diesel,2.8,Manual,Sedan,White,First Owner,8226.12,17
Nissan,Model D,2002,38382,Petrol,3.9,Manual,Hatchback,White,Third Owner,9969.13,21
Mercedes,Model C,2014,256087,Diesel,1.1,Manual,Truck,White,First Owner,17155.18,9
BMW,Model C,2014,265522,Diesel,2.5,Automatic,SUV,Blue,Third Owner,17600.07,9
Kia,Model A,2002,276267,Diesel,3.3,CVT,SUV,Red,Second Owner,7819.47,21
Chevrolet,Model C,2010,111142,Petrol,4.4,Manual,Sedan,Black,Second Owner,11579.85,13
